genres,release_year,id,app_name
Action,2018,761140.0,Lost Summoner Kitty
Casual,2018,761140.0,Lost Summoner Kitty
Indie,2018,761140.0,Lost Summoner Kitty
Simulation,2018,761140.0,Lost Summoner Kitty
Strategy,2018,761140.0,Lost Summoner Kitty
Free to Play,2018,643980.0,Ironbound
Indie,2018,643980.0,Ironbound
RPG,2018,643980.0,Ironbound
Strategy,2018,643980.0,Ironbound
Casual,2017,670290.0,Real Pool 3D - Poolians
Free to Play,2017,670290.0,Real Pool 3D - Poolians
Indie,2017,670290.0,Real Pool 3D - Poolians
Simulation,2017,670290.0,Real Pool 3D - Poolians
Sports,2017,670290.0,Real Pool 3D - Poolians
Action,2017,767400.0,弹炸人2222
Adventure,2017,767400.0,弹炸人2222
Casual,2017,767400.0,弹炸人2222
,,773570.0,Log Challenge
Action,2018,772540.0,Battle Royale Trainer
Adventure,2018,772540.0,Battle Royale Trainer
Simulation,2018,772540.0,Battle Royale Trainer
Free to Play,2018,774276.0,SNOW - All Access Basic Pass
Indie,2018,774276.0,SNOW - All Access Basic Pass
Simulation,2018,774276.0,SNOW - All Access Basic Pass
Sports,2018,774276.0,SNOW - All Access Basic Pass
Free to Play,2018,774277.0,SNOW - All Access Pro Pass
Indie,2018,774277.0,SNOW - All Access Pro Pass
Simulation,2018,774277.0,SNOW - All Access Pro Pass
Sports,2018,774277.0,SNOW - All Access Pro Pass
Free to Play,2018,774278.0,SNOW - All Access Legend Pass
Indie,2018,774278.0,SNOW - All Access Legend Pass
Simulation,2018,774278.0,SNOW - All Access Legend Pass
Sports,2018,774278.0,SNOW - All Access Legend Pass
Casual,2018,768800.0,Race
Indie,2018,768800.0,Race
Racing,2018,768800.0,Race
Simulation,2018,768800.0,Race
Action,,768570.0,Uncanny Islands
Indie,,768570.0,Uncanny Islands
Simulation,,768570.0,Uncanny Islands
Early Access,,768570.0,Uncanny Islands
,,724910.0,Icarus Six Sixty Six
Action,2018,770380.0,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition
