user_id,item_id,recommend,sentiment_analysis,year
76561197970982479,1250,True,2.0,2011
js41637,22200,True,2.0,2011
evcentric,43110,True,2.0,2011
doctr,251610,True,2.0,2014
maplemage,227300,True,2.0,2013
Wackky,239030,True,2.0,2013
76561198079601835,248820,True,0.0,0
MeaTCompany,370360,True,2.0,2015
76561198089393905,237930,True,2.0,2014
76561198156664158,263360,True,1.0,2014
76561198077246154,107200,True,2.0,2014
WeiEDKrSat,224500,True,2.0,2014
thequeenpanda,250320,True,2.0,2013
death-hunter,20920,True,2.0,2012
DJKamBer,204100,True,2.0,2012
Rainbow-Dashie,224600,True,2.0,2014
76561198043472122,207610,True,2.0,2012
MarbleShrine,108710,True,2.0,2012
PPanther,211420,True,1.0,2014
devvonst,211820,True,2.0,2013
Fr0stedLine,730,True,2.0,2014
starkillershadow553,204300,True,2.0,2013
76561198058373434,249130,True,1.0,2014
76561198048353577,207610,True,0.0,2013
76561198066046412,550,True,2.0,2013
tru_mu_,65800,True,2.0,2014
76561198070565427,220,True,2.0,2013
SavageEeEe,730,True,1.0,0
76561198076909484,730,True,2.0,0
KanadeTheNeko,72850,True,0.0,2015
Leaf_Light_Moscow,440,True,1.0,2014
GoAwayZach,252950,True,2.0,0
76561198054540475,440,True,1.0,0
76561198085547365,304930,True,1.0,2015
76561198061252210,4000,True,1.0,2013
OfficialShroomsy,42910,True,1.0,2012
boydeer,232090,True,2.0,2015
VVillis,1250,True,2.0,2015
76561198083226897,4000,True,2.0,2014
76561198075277292,304930,True,2.0,2014
76561198028895010,570,True,2.0,2013
76561198170198366,218620,True,2.0,2015
diego9031,224260,True,2.0,2013
jarrodtrim,1250,True,0.0,2013
76561198078738103,440,True,2.0,2012
76561198067936203,730,True,2.0,2015
76561198079770573,440,True,2.0,2014
76561198087586464,49520,True,1.0,2014
Derp-e,33440,False,1.0,2014
76561198070194565,220200,True,2.0,2015
Rivtex,211820,True,2.0,2014
UTNerd24,,,,
sandwiches1,218740,True,2.0,2014
76561198138053270,550,True,2.0,2015
lucaswerg,220,True,2.0,0
Life-Of-Blu,238090,True,2.0,2015
CaptianAutismo,242130,True,0.0,0
76561198075895633,277430,True,2.0,2014
TheDropix101,8870,True,2.0,2015
kube134,368230,True,2.0,2015
iamthekingofbrowntown,4000,True,2.0,0
MainScout,33930,True,2.0,2013
gdxsd,359320,False,2.0,2015
yookobz,219640,True,2.0,2015
Posiblydead,287980,True,2.0,2015
Mossy_Gaming,218620,True,1.0,0
76561198102421718,208090,True,2.0,2015
76561198087407319,242700,True,1.0,2014
76561198056741844,570,False,1.0,2014
sad-commie,224260,True,1.0,2014
76561198030567998,221100,True,2.0,2015
76561198010674657,570,True,2.0,2014
Coldaniel,331470,True,2.0,2014
therealmorty,,,,
Berserklejerker,323370,True,2.0,0
76561198061730629,,,,
YoHuNz,12210,True,2.0,2015
possessioniskey,265210,True,1.0,2014
76561198093112529,48700,True,2.0,2014
76561198060447950,238460,True,2.0,0
whiteofwolfing,34900,True,2.0,0
sergarino,,,,
76561198081962345,113200,True,2.0,2013
76561198094224872,,,,
76561198073210139,383080,False,1.0,2015
Nozomikat,213670,True,2.0,2015
xfluttersx,105600,True,2.0,2015
76561198056290589,730,True,0.0,2015
ii_voltage_ii,570,True,2.0,2015
76561198097762318,231180,True,2.0,2013
Hirukaz,620,True,2.0,2012
StelerForYou,271290,True,2.0,0
76561198183396245,4000,True,1.0,0
Xx-Woods,317360,True,1.0,0
kevinator23,223710,True,1.0,2015
76561198090715178,299360,True,1.0,2015
CatsWhale,322330,True,1.0,2015
76561198073784601,,,,
mimimomoma,12100,True,1.0,2015
76561198102410011,204360,True,2.0,2015
de_Butl3r,440,True,1.0,2013
76561198027947401,,,,
Bluezap1,,,,
76561198074200011,304930,True,2.0,0
jonasdbomb,440,True,2.0,2015
L1J1N,1840,True,1.0,2015
Lord_Exploit,440,True,2.0,2013
AVATAR715,,,,
YieuwMage,233250,True,1.0,2014
76561198078752187,449140,True,1.0,0
A-Very-Sly-Person,368730,True,1.0,0
76561198211054671,246280,True,1.0,0
76561197994493402,427270,True,2.0,0
Koolcaz12,397100,True,1.0,0
76561198065656175,248570,True,1.0,2015
76561198188979775,298630,True,1.0,2015
97396295,244210,True,2.0,2014
76561198126640317,440,True,1.0,2015
DemonicWolvz,376920,True,2.0,2015
DieMadchenschanderin,257750,True,2.0,2015
GGargula,221910,True,1.0,2014
Myther43,2280,True,2.0,2013
getf0kinn0sc0pedm9,417860,False,1.0,2015
76561198141443390,218620,True,2.0,2014
76561198097333029,,,,
whodafuqisthisguilao,222880,True,1.0,2014
Magjiikal,377160,True,2.0,2015
ohnospaghet,,,,
76561198050347115,252490,True,0.0,2015
2768820078,,,,
76561198056392326,242920,True,2.0,0
2d4nk4m3,251990,True,2.0,2014
76561198078478151,344760,False,0.0,2015
exiaez,252950,True,1.0,2015
76561198095921854,236430,True,2.0,0
EizanAratoFujimaki,399730,True,2.0,2015
TeCool,550,True,1.0,0
2xDelorean,,,,
washington_,219150,True,2.0,2014
jewxxl,,,,
76561198088944293,239820,True,2.0,2014
76561198092540221,17410,True,2.0,2013
76561198051258119,,,,
nubquake123,270550,True,2.0,2015
Pyromanic,274940,True,2.0,2015
76561198109656922,333930,True,2.0,2015
CobRazor,,,,
relesprit,730,True,1.0,2014
WitchHunter4542,294100,True,0.0,0
pwrt,212070,True,0.0,2014
wantmahbody,264140,True,1.0,2014
76561198115868847,332800,True,1.0,2014
benedictcuminherbatch,319630,True,2.0,2015
76561198031207016,6020,True,0.0,2015
76561198043458582,55230,True,2.0,2015
smashiroshh,32430,True,2.0,2014
shark854,377160,False,2.0,0
killbunny38,440,True,0.0,0
76561198047630659,35450,True,2.0,2015
1337lolroflmao,,,,
sithjjf,236390,True,2.0,2015
76561198060039459,351570,True,2.0,2015
OzfurAtlas,212680,True,0.0,2015
76561198065593074,391540,True,2.0,2015
76561198044169764,550,True,0.0,2014
euzi,,,,
